"","Timestamp","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10"
"1","6/11/2023 10:48:47",4,NA,NA,2,5,2,2,2,4,2
"2","6/11/2023 18:11:40",5,1,NA,1,NA,2,2,2,NA,2
"3","6/12/2023 1:34:33",4,2,5,2,4,4,4,NA,NA,2
"4","6/12/2023 8:57:26",4,2,1,NA,2,5,NA,4,5,NA
"5","6/12/2023 16:20:19",NA,1,4,1,4,2,NA,2,5,2
"6","6/12/2023 23:43:12",NA,2,5,2,5,2,4,2,NA,2
"7","6/13/2023 7:06:05",2,2,2,2,5,2,5,NA,NA,2
"8","6/13/2023 14:28:58",NA,1,4,NA,NA,2,4,2,4,2
"9","6/13/2023 21:51:51",2,2,5,2,4,NA,4,2,5,1
"10","6/14/2023 5:14:44",2,1,5,2,5,NA,5,1,5,2
"11","6/14/2023 12:37:37",4,4,5,4,NA,2,NA,NA,2,2
"12","6/14/2023 20:00:30",5,NA,NA,2,4,1,2,2,2,1
"13","6/15/2023 3:23:23",4,4,5,NA,4,2,5,2,4,NA
"14","6/15/2023 10:46:16",NA,2,4,NA,4,2,5,1,5,NA
"15","6/15/2023 18:09:09",2,2,NA,2,4,NA,4,NA,NA,2
"16","6/16/2023 1:32:02",5,NA,NA,2,5,4,NA,2,4,2
"17","6/16/2023 8:54:55",4,NA,NA,2,4,2,5,2,NA,NA
"18","6/16/2023 16:17:48",NA,2,4,1,4,NA,4,2,4,2
"19","6/16/2023 23:40:41",NA,2,NA,NA,NA,NA,5,2,4,2
"20","6/17/2023 7:03:34",4,NA,5,2,5,1,4,NA,1,NA
"21","6/17/2023 14:26:27",NA,2,NA,2,NA,NA,5,2,5,2
"22","6/17/2023 21:49:20",2,NA,4,2,NA,1,4,2,4,2
"23","6/18/2023 5:12:13",4,NA,4,NA,4,2,4,2,4,1
"24","6/18/2023 12:35:06",2,2,4,2,4,4,5,4,NA,2
"25","6/18/2023 19:57:59",4,2,4,2,4,1,4,4,4,2
"26","6/19/2023 3:20:52",5,4,4,1,NA,4,4,2,4,2
"27","6/19/2023 10:43:45",NA,1,NA,4,4,1,NA,1,5,2
"28","6/19/2023 18:06:38",NA,NA,5,NA,2,1,NA,1,NA,2
"29","6/20/2023 1:29:31",NA,1,5,NA,5,NA,NA,1,5,4
"30","6/20/2023 8:52:24",NA,1,5,NA,5,NA,NA,2,NA,4
"31","6/20/2023 16:15:17",NA,2,NA,NA,NA,4,2,1,4,2
"32","6/20/2023 23:38:10",5,2,4,NA,4,1,2,1,NA,2
"33","6/21/2023 7:01:03",2,1,4,4,NA,NA,5,1,5,1
"34","6/21/2023 14:23:56",NA,2,NA,1,4,NA,4,2,5,1
"35","6/21/2023 21:46:49",2,4,4,NA,5,2,5,2,NA,2
"36","6/22/2023 5:09:42",2,2,4,2,4,4,2,2,5,1
"37","6/22/2023 12:32:35",NA,2,5,2,4,1,5,NA,NA,NA
"38","6/22/2023 19:55:28",NA,NA,5,NA,NA,4,2,2,4,2
"39","6/23/2023 3:18:21",NA,2,4,4,4,NA,4,NA,2,4
"40","6/23/2023 10:41:14",2,4,NA,2,5,2,4,4,NA,2
"41","6/23/2023 18:04:07",2,2,5,NA,NA,4,4,1,NA,NA
"42","6/24/2023 1:27:00",NA,2,4,NA,5,1,5,1,4,NA
"43","6/24/2023 8:49:53",4,1,4,2,2,2,4,NA,4,2
"44","6/24/2023 16:12:46",5,2,NA,NA,NA,1,NA,2,NA,NA
"45","6/24/2023 23:35:39",5,2,5,NA,NA,2,4,1,4,2
"46","6/25/2023 6:58:32",4,2,NA,2,4,NA,2,4,2,NA
"47","6/25/2023 14:21:25",4,1,4,2,2,2,4,NA,5,2
"48","6/25/2023 21:44:18",NA,1,NA,4,5,2,4,NA,4,2
"49","6/26/2023 5:07:11",4,2,NA,2,4,2,2,NA,NA,2
"50","6/26/2023 12:30:04",5,NA,5,NA,2,1,4,NA,5,4
"51","6/26/2023 19:52:57",2,NA,4,4,4,2,NA,NA,4,NA
"52","6/27/2023 3:15:50",5,1,4,1,4,NA,5,2,4,NA
"53","6/27/2023 10:38:43",5,2,4,NA,4,NA,NA,1,NA,2
"54","6/27/2023 18:01:36",4,2,NA,2,4,2,4,NA,NA,NA
"55","6/28/2023 1:24:29",4,4,5,NA,4,2,4,2,4,2
"56","6/28/2023 8:47:22",NA,2,4,NA,NA,2,4,4,4,NA
"57","6/28/2023 16:10:15",NA,2,4,2,4,5,4,2,NA,2
"58","6/28/2023 23:33:08",4,2,4,1,4,4,NA,1,NA,NA
"59","6/29/2023 6:56:01",5,NA,4,NA,4,2,NA,2,4,4
"60","6/29/2023 14:18:54",NA,NA,5,1,5,1,NA,2,4,NA
"61","6/29/2023 21:41:47",NA,2,4,2,NA,2,NA,2,4,NA
"62","6/30/2023 5:04:40",NA,2,NA,NA,2,NA,4,NA,5,NA
"63","6/30/2023 12:27:33",NA,2,4,1,4,1,4,2,5,1
"64","6/30/2023 19:50:26",NA,1,NA,2,NA,NA,4,2,5,2
"65","7/1/2023 3:13:19",5,NA,4,NA,4,2,NA,1,4,2
"66","7/1/2023 10:36:12",4,2,4,1,4,1,2,2,4,1
"67","7/1/2023 17:59:05",4,NA,NA,2,NA,NA,NA,NA,5,NA
"68","7/2/2023 1:21:58",NA,NA,4,2,5,1,5,2,2,2
"69","7/2/2023 8:44:51",NA,4,4,NA,5,1,4,NA,NA,4
"70","7/2/2023 16:07:44",2,2,5,1,5,2,5,4,4,NA
"71","7/2/2023 23:30:37",4,1,4,2,2,2,5,NA,NA,NA
"72","7/3/2023 6:53:30",4,2,5,NA,4,4,NA,2,4,2
"73","7/3/2023 14:16:23",5,2,4,NA,4,1,4,2,5,2
"74","7/3/2023 21:39:16",5,1,NA,NA,2,NA,5,4,5,NA
"75","7/4/2023 5:02:09",NA,2,4,NA,NA,2,1,1,4,NA
"76","7/4/2023 12:25:02",5,1,NA,NA,NA,NA,NA,2,4,NA
"77","7/4/2023 19:47:55",5,1,NA,2,5,NA,5,NA,NA,1
"78","7/5/2023 3:10:48",5,2,4,2,NA,NA,2,NA,NA,2
"79","7/5/2023 10:33:41",4,2,4,1,5,NA,5,5,4,NA
"80","7/5/2023 17:56:34",NA,2,5,4,2,2,5,1,5,NA
"81","7/6/2023 1:19:27",4,2,4,2,2,2,4,1,4,NA
"82","7/6/2023 8:42:20",NA,1,4,2,1,NA,4,1,4,1
"83","7/6/2023 16:05:13",4,1,NA,NA,2,NA,2,4,4,NA
"84","7/6/2023 23:28:06",4,1,2,NA,NA,2,5,NA,NA,2
"85","7/7/2023 6:50:59",4,1,NA,4,1,2,4,NA,5,NA
"86","7/7/2023 14:13:52",4,2,4,NA,4,2,4,4,2,2
"87","7/7/2023 21:36:45",NA,2,2,2,NA,2,5,4,5,2
"88","7/8/2023 4:59:38",NA,1,2,2,4,1,4,2,4,2
"89","7/8/2023 12:22:31",2,2,5,2,5,4,NA,1,4,NA
"90","7/8/2023 19:45:24",5,2,NA,NA,4,1,2,2,5,2
"91","7/9/2023 3:08:17",4,2,4,NA,NA,1,4,2,NA,NA
"92","7/9/2023 10:31:10",5,NA,4,2,4,NA,NA,NA,4,2
"93","7/9/2023 17:54:03",4,NA,4,NA,4,2,NA,2,NA,2
"94","7/10/2023 1:16:56",4,2,4,2,4,2,NA,1,4,2
"95","7/10/2023 8:39:49",4,NA,4,2,2,1,5,NA,4,NA
"96","7/10/2023 16:02:42",NA,NA,NA,NA,5,NA,5,NA,4,2
"97","7/10/2023 23:25:35",2,2,NA,2,4,NA,NA,NA,5,NA
"98","7/11/2023 6:48:28",5,1,4,4,NA,NA,4,2,2,NA
"99","7/11/2023 14:11:21",4,4,NA,NA,NA,4,5,NA,4,2
"100","7/11/2023 21:34:14",5,1,4,2,5,NA,4,NA,NA,2
